,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,구별,살인,강도,강간,절도,폭력,범죄,검거
0,0.2968253968253968,0.33333333333333326,0.0,0.18050972814717392,0.5539589085163703,중구,2,3,105,1395,1355,1.3646273668222744,2860
1,0.40652173913043477,0.666666666666667,0.0,0.319760477697538,0.3210779530721659,종로구,3,6,115,1070,1278,1.7140268365668057,2472
2,0.0,0.33333333333333326,0.0,0.14691611193023157,1.0,중구,1,6,65,1153,869,1.4802494452635648,2094
3,0.20238095238095236,0.6000000000000001,0.0,0.3871113055280766,0.2762542553429812,서대문구,2,5,154,1812,2056,1.4657465132520102,4029
4,0.32465277777777773,0.6000000000000001,0.0,0.3027804068321387,0.41903476826817787,종로구,3,5,96,1114,1015,1.6464679528780943,2233
5,0.4016323024054982,1.0,0.0,0.2913884321509408,0.26756055085851926,용산구,5,14,194,1557,2050,1.9605812854149582,3820
6,0.3624031007751938,0.0,0.0,0.45630468809072355,0.43509029765754814,성북구,2,2,86,953,1194,1.2537980865234655,2237
7,0.4503853564547206,1.0,0.0,0.3985521815471518,0.6476532715190304,동대문구,5,13,173,1981,2548,2.496590809520903,4720
8,0.4240362811791383,0.4285714285714286,0.0,0.10546882572918204,0.3850748316535988,마포구,8,14,294,2555,2983,1.3431513671333477,5854
9,0.6338983050847457,0.8181818181818181,0.0,0.14264773385251073,0.24738207172523285,영등포구,14,22,295,2964,3572,1.8421099288443072,6867
10,0.49470899470899465,0.7777777777777777,0.0,0.27397687850085006,0.5709743707336017,성동구,4,9,126,1607,1612,2.117438021721224,3358
11,0.273391812865497,0.11111111111111116,0.0,0.21999084819152182,0.2646346803372852,동작구,5,9,285,1865,1910,0.8691284525054153,4074
12,0.25972222222222224,1.0,0.0,0.4336627229281318,0.2609592512550556,광진구,4,14,240,3026,2625,1.9543441964054096,5909
13,0.4452380952380952,0.0,0.0,0.23051789163162062,0.619115059512251,은평구,2,2,70,819,1192,1.2948710463819668,2085
14,0.8148148148148148,0.8571428571428572,0.0,0.4619678914721723,0.7573612818555189,강북구,7,14,153,1434,2649,2.8912868452853635,4257
15,0.41280353200883,1.0,0.0,0.8910639777265739,0.5644888710699307,금천구,3,6,151,1567,2054,2.8683563808053347,3781
16,1.0,0.6363636363636367,0.0,0.3270606582931723,0.39395083120758745,중랑구,13,11,187,2135,2847,2.3573751258643965,5193
17,0.15583333333333332,0.6000000000000001,0.0,0.3897816283014277,0.6171867350037505,강남구,3,15,300,2411,2465,1.7628016966385116,5194
18,0.3895833333333333,1.0,0.0,0.06568940923441491,0.0,관악구,9,12,320,2706,3298,1.4552727425677483,6345
19,0.47582697201017804,1.0,0.0,1.0,0.41233140468561036,강서구,7,13,262,2096,3207,2.888158376695788,5585
20,0.29967948717948717,1.0,0.0,0.15375946034089627,0.24703737327496267,강동구,4,6,156,2366,2712,1.7004763207953462,5244
21,0.73046875,1.0,0.0,0.36104063033270006,0.2352938536588285,성북구,3,3,64,832,1015,2.3268032339915283,1917
22,0.3327402135231317,0.46666666666666656,0.0,0.3031523205075859,0.06827517504263714,구로구,8,15,281,2335,3007,1.1708343757400212,5646
23,0.18662674650698605,0.25,0.0,0.5430512591350631,0.5916308505839067,서초구,7,8,334,1982,1852,1.571308856225956,4183
24,0.6493055555555555,0.0,0.0,0.2235695462072378,0.07100843379421917,양천구,3,6,120,1890,2509,0.9438835355570124,4528
25,0.7083333333333334,0.5384615384615388,0.0,0.20146693830844908,0.39459174320886614,송파구,11,13,220,3239,3295,1.8428535533121875,6778
26,0.7910321489001692,1.0,0.0,0.2542282358750305,0.4814738402421712,노원구,10,7,197,2193,2723,2.5267342250173708,5130
27,0.5282485875706214,1.0,0.0,0.0,0.8572809229183855,서초구,1,1,59,653,547,2.385529510489007,1261
28,0.16232638888888887,0.4285714285714286,0.0,0.30633629094273207,0.5933014764660003,은평구,1,7,96,1095,1461,1.4905355848690498,2660
29,0.45833333333333326,1.0,0.0,0.521114445355559,0.6675648464463464,도봉구,3,9,102,1063,1487,2.647012625135239,2664
30,0.7321029082774049,1.0,0.0,0.5626902215154319,0.4970834103910411,강남구,10,6,149,1439,1819,2.791876540183878,3423
